3.06,,
3563,,
3721.65,,
3750,,
3878.2,,
4000,,
4000,,
4000,,
4000,,
4000,,
4000,,
4000,,
4000,,
4000,,
4000,,
4000,,
4005.02,,
4050,,
4078.28,,
4500,,
4500,,
4500,,
4500,,
4521.6,,
4675,,
4800,,
4931.84,,
5000,,
5000,,
5000,,
5267.68,,
5400,,
5718.54,,
6000,,
6023.1,,
6097,,
6160,,
6262.55,,
6374.5,,
6409.25,,
6466.75,,
6521.75,,
6598.5,,
6960,,
8240.65,,
8273.1,,
8400,,
8500,,
8500,,
8500,,
8500,,
8501.5,,
8503.5,,
8504.5,,
8505,,
8510.5,,
8511.5,,
8531.25,,
8711.42,,
8786.5,,
8975.15,,
9000,,
9575.59,,
10000,,
10000,,
10000,,
10791,,
11675,,
12123.25,,
12670.9,,
12790,,
15871,,
16000,,
16095.31,,
16209.2,,
16333.04,,
16507.48,,
16555.49,,
16729.07,,
16936.57,,
17000,,
17276.52,,
17420.76,,
17575.7,,
18244.1,,
18820,,
20000,,
20000,,
20366.67,,
20505.13,,
20571.28,,
21000,,
22000,,
22062,,
23069.6,,
23558.23,,
23695.73,,
25292.15,,
25553.83,,
25577.62,,
25591.07,,
25684.42,,
25975.14,,
26395.36,,
26442.49,,
26445.8,,
26481.89,,
26544.08,,
26869.76,,
27071,,
27313,,
27326.11,,
27389,,
28509.38,,
30000,,
37000.67,,
40000,,
46469,,
71408.31,,
91530,,
117007.63,,
121672.27,,
125524.22,,
125619.22,,
126310.34,,
126527.97,,
126577.77,,
129618.09,,
130009.57,,
130699.65,,
136448.53,,
137171.67,,
138866,,
164190.27,,
360605.11,,
619088,,
